state,product,complaints
MI,Debt or credit management,5
MS,"Payday loan, title loan, personal loan, or advance loan",5
MT,Checking or savings account,5
MT,"Payday loan, title loan, personal loan, or advance loan",5
NE,"Payday loan, title loan, personal loan, or advance loan",5
NM,"Payday loan, title loan, personal loan, or advance loan",5
NV,Prepaid card,5
OK,"Payday loan, title loan, personal loan, or advance loan",5
PA,Debt or credit management,5
PR,Checking or savings account,5
PR,"Money transfer, virtual currency, or money service",5
TN,Debt or credit management,5
UT,Student loan,5
VI,Debt collection,5
VT,"Money transfer, virtual currency, or money service",5
WY,Credit card,5
AK,Credit card,4
AR,Debt or credit management,4
AR,Student loan,4
AZ,Prepaid card,4
CT,Prepaid card,4
DC,Vehicle loan or lease,4
DE,"Payday loan, title loan, personal loan, or advance loan",4
HI,"Payday loan, title loan, personal loan, or advance loan",4
HI,Student loan,4
ID,Mortgage,4
IN,Prepaid card,4
KS,"Payday loan, title loan, personal loan, or advance loan",4
KS,Vehicle loan or lease,4
KY,Vehicle loan or lease,4
LA,Debt or credit management,4
MD,Prepaid card,4
ME,Prepaid card,4
MN,Vehicle loan or lease,4
MS,Debt or credit management,4
NM,Mortgage,4
OH,Debt or credit management,4
OK,Vehicle loan or lease,4
RI,Student loan,4
SC,Debt or credit management,4
SD,Credit card,4
VA,Debt or credit management,4
VT,Mortgage,4
WV,"Money transfer, virtual currency, or money service",4
WY,Debt collection,4
AK,"Money transfer, virtual currency, or money service",3
AZ,Debt or credit management,3
CO,Prepaid card,3
DC,"Payday loan, title loan, personal loan, or advance loan",3
HI,Vehicle loan or lease,3
ID,Vehicle loan or lease,3
KY,Prepaid card,3
MD,Debt or credit management,3
ME,Checking or savings account,3
ME,Mortgage,3
MN,Debt or credit management,3
MS,Prepaid card,3
MT,Vehicle loan or lease,3
NC,Prepaid card,3
ND,Credit card,3
NE,Mortgage,3
NE,Prepaid card,3
NE,Student loan,3
NH,Mortgage,3
NH,Student loan,3
PR,Mortgage,3
PR,"Payday loan, title loan, personal loan, or advance loan",3
SC,Prepaid card,3
SD,"Money transfer, virtual currency, or money service",3
SD,Mortgage,3
TN,Prepaid card,3
UT,Debt or credit management,3
WV,Mortgage,3
AE,Debt collection,2
AE,"Money transfer, virtual currency, or money service",2
AK,Student loan,2
AL,Debt or credit management,2
AL,Prepaid card,2
AP,Credit card,2
CT,"Payday loan, title loan, personal loan, or advance loan",2
DC,Prepaid card,2
GU,Credit reporting or other personal consumer reports,2
HI,Debt or credit management,2
HI,Prepaid card,2
IA,Debt or credit management,2
IA,Mortgage,2
IA,Prepaid card,2
ID,Student loan,2
KS,Prepaid card,2
KY,Student loan,2
ME,"Money transfer, virtual currency, or money service",2
MO,Debt or credit management,2
MT,Mortgage,2
ND,"Money transfer, virtual currency, or money service",2
NE,Vehicle loan or lease,2
NH,Prepaid card,2
NM,Student loan,2
NM,Vehicle loan or lease,2
OK,Debt or credit management,2
OK,Prepaid card,2
OR,Prepaid card,2
OR,Vehicle loan or lease,2
PR,Student loan,2
PR,Vehicle loan or lease,2
RI,Mortgage,2
SD,Checking or savings account,2
SD,"Payday loan, title loan, personal loan, or advance loan",2
SD,Vehicle loan or lease,2
VT,Checking or savings account,2
VT,Student loan,2
WA,Debt or credit management,2
WI,Prepaid card,2
WV,Student loan,2
WY,Mortgage,2
AA,Credit reporting or other personal consumer reports,1
AE,Credit card,1
AE,Student loan,1
AP,Debt collection,1
AP,"Payday loan, title loan, personal loan, or advance loan",1
AR,Prepaid card,1
AS,Credit card,1
DE,Prepaid card,1
GU,Checking or savings account,1
GU,Credit card,1
HI,"Money transfer, virtual currency, or money service",1
ID,Prepaid card,1
KS,Debt or credit management,1
KY,Debt or credit management,1
MA,Prepaid card,1
MN,"Payday loan, title loan, personal loan, or advance loan",1
MN,Prepaid card,1
MP,Credit reporting or other personal consumer reports,1
MT,"Money transfer, virtual currency, or money service",1
MT,Prepaid card,1
MT,Student loan,1
ND,Checking or savings account,1
ND,Debt or credit management,1
ND,"Payday loan, title loan, personal loan, or advance loan",1
NH,Vehicle loan or lease,1
OK,Student loan,1
OR,Debt or credit management,1
PR,Prepaid card,1
RI,Prepaid card,1
RI,Vehicle loan or lease,1
SD,Debt or credit management,1
UNITED STATES MINOR OUTLYING ISLANDS,Mortgage,1
UT,Prepaid card,1
VI,Checking or savings account,1
WV,"Payday loan, title loan, personal loan, or advance loan",1
WY,"Payday loan, title loan, personal loan, or advance loan",1
WY,Vehicle loan or lease,1
